epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,495.867,1.2734,0.96829,1.16655,0.00089,0.30366,0.00897,0.00201,1.07326,1.32164,1.19423,0.0667379,3.32954e-05,3.32954e-05
1,554.015,1.21619,1.06086,1.13961,0.00641,0.21666,0.01533,0.00382,1.1036,1.11487,1.44978,0.0667379,3.32954e-05,3.32954e-05
2,1027.39,0.89617,1.13233,0.80259,0.69668,0.14159,0.03563,0.02261,0.80564,1.63216,0.93692,0.0334375,6.62226e-05,6.62226e-05
3,1517.43,0.77852,1.20088,0.69639,0.70129,0.11246,0.02607,0.02108,0.70289,1.74194,0.8949,0.000135505,9.75403e-05,9.75403e-05
4,1970.64,0.71957,1.23156,0.65159,0.70743,0.1157,0.04084,0.03332,0.68645,1.65611,0.88702,9.46048e-05,9.46048e-05,9.46048e-05
5,2339.64,0.70257,1.16501,0.62874,0.94676,0.18301,0.18864,0.1612,0.70551,1.42521,0.93418,9.05463e-05,9.05463e-05,9.05463e-05
6,2686.65,0.69364,1.00797,0.61505,0.95083,0.19256,0.20142,0.16988,0.69769,1.24848,0.89018,8.55018e-05,8.55018e-05,8.55018e-05
7,2963.59,0.6795,0.97754,0.59413,0.98929,0.19505,0.21645,0.18367,0.68357,1.26381,0.86361,7.95954e-05,7.95954e-05,7.95954e-05
8,3247.16,0.66302,0.96615,0.58407,0.3027,0.28061,0.23365,0.19206,0.6585,1.32928,0.85295,7.29725e-05,7.29725e-05,7.29725e-05
9,3714.04,0.64217,0.96043,0.55747,0.35152,0.26634,0.24229,0.19857,0.65514,1.10347,0.82806,6.57963e-05,6.57963e-05,6.57963e-05
1,269.711,1.22384,1.0771,1.13181,0.6733,0.14968,0.02292,0.00651,0.94659,1.39178,1.13897,0.0667379,3.32954e-05,3.32954e-05
2,523.445,0.88564,1.14674,0.8079,0.69615,0.12055,0.03115,0.01883,0.73029,1.74328,0.94057,0.0334375,6.62226e-05,6.62226e-05
3,775.428,0.76715,1.20545,0.70748,0.69482,0.16586,0.03105,0.02532,0.70738,1.7823,0.92585,0.000135505,9.75403e-05,9.75403e-05
4,1027.44,0.72069,1.22971,0.66494,0.69928,0.1343,0.03206,0.02499,0.67976,1.74023,0.90493,9.46048e-05,9.46048e-05,9.46048e-05
5,1286.49,0.69708,1.21881,0.6353,0.69491,0.13026,0.03156,0.02285,0.65694,1.97825,0.84545,9.05463e-05,9.05463e-05,9.05463e-05
6,1546.61,0.68193,1.20888,0.62227,0.70736,0.15049,0.04823,0.03298,0.66814,1.74248,0.88422,8.55018e-05,8.55018e-05,8.55018e-05
7,1800.79,0.66822,1.19149,0.59945,0.71321,0.15696,0.04712,0.0353,0.66287,1.83126,0.87028,7.95954e-05,7.95954e-05,7.95954e-05
8,2055.04,0.65409,1.18985,0.58294,0.72219,0.14482,0.05966,0.045,0.65441,2.02125,0.83799,7.29725e-05,7.29725e-05,7.29725e-05
9,2305.34,0.63614,1.17474,0.56268,0.81391,0.16389,0.14686,0.12209,0.65816,1.59599,0.83725,6.57963e-05,6.57963e-05,6.57963e-05
10,2569.04,0.64208,1.09691,0.56607,0.83424,0.1873,0.16201,0.12788,0.65596,1.41783,0.83272,5.82435e-05,5.82435e-05,5.82435e-05
11,2827.05,0.55491,1.04746,0.52751,0.33555,0.24659,0.2309,0.19089,0.62504,1.11938,0.77499,5.05e-05,5.05e-05,5.05e-05
12,3081.4,0.53827,0.97534,0.51351,0.99214,0.19498,0.23925,0.19902,0.62227,1.09616,0.76884,4.27565e-05,4.27565e-05,4.27565e-05
13,3331.06,0.51169,0.9687,0.48442,0.99271,0.19417,0.23572,0.19806,0.60465,1.17321,0.7696,3.52037e-05,3.52037e-05,3.52037e-05
14,3579.6,0.50952,0.94656,0.4827,0.27226,0.26759,0.25169,0.20685,0.5976,1.01929,0.75704,2.80275e-05,2.80275e-05,2.80275e-05
15,3829.12,0.50709,0.9432,0.47592,0.27409,0.26356,0.25023,0.20701,0.588,1.11613,0.741,2.14046e-05,2.14046e-05,2.14046e-05
16,4077.91,0.50062,0.93857,0.47202,0.28866,0.26488,0.25568,0.2075,0.59221,1.10773,0.7404,1.54982e-05,1.54982e-05,1.54982e-05
17,4327.94,0.48836,0.94694,0.46255,0.2631,0.26851,0.25469,0.20939,0.58207,1.09771,0.72977,1.04537e-05,1.04537e-05,1.04537e-05
18,4576.48,0.49423,0.93767,0.46559,0.26494,0.27248,0.25387,0.20908,0.5855,1.08593,0.72957,6.39518e-06,6.39518e-06,6.39518e-06
19,4825.88,0.48717,0.9355,0.45842,0.27436,0.26954,0.25486,0.20877,0.58836,1.09642,0.7305,3.4227e-06,3.4227e-06,3.4227e-06
20,5075.07,0.48474,0.92874,0.45366,0.27151,0.2699,0.25404,0.21074,0.59085,1.08917,0.73825,1.60943e-06,1.60943e-06,1.60943e-06
