epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,336.086,0.81555,1.41892,0.68666,0.00953,0.36658,0.04173,0.01502,0.47059,2.19995,0.56107,0.0667304,3.33029e-05,3.33029e-05
2,718.026,0.5281,1.49706,0.40642,0.54164,0.19301,0.05977,0.0323,0.33892,2.09452,0.46778,0.0334304,6.6591e-05,6.6591e-05
3,1129.38,0.39166,1.54866,0.31717,0.54591,0.22021,0.09931,0.05625,0.2998,2.14102,0.41685,0.00013014,9.96985e-05,9.96985e-05
4,1481.54,0.35657,1.47047,0.29309,0.63374,0.22021,0.15535,0.10759,0.30243,1.80347,0.41187,9.93906e-05,9.93906e-05,9.93906e-05
5,1794.39,0.34688,1.37361,0.29127,0.65385,0.25389,0.21414,0.16954,0.32532,1.63538,0.45593,9.89183e-05,9.89183e-05,9.89183e-05
6,2105.68,0.38997,1.02253,0.35203,0.49394,0.67934,0.56201,0.42421,0.34083,0.93505,0.51396,9.83133e-05,9.83133e-05,9.83133e-05
7,2418.66,0.40218,0.91948,0.36789,0.57622,0.67083,0.56952,0.44006,0.33822,0.89824,0.52976,9.75773e-05,9.75773e-05,9.75773e-05
8,2728.32,0.39713,0.87094,0.3729,0.6231,0.6783,0.57349,0.44691,0.34697,0.82113,0.5586,9.67122e-05,9.67122e-05,9.67122e-05
9,3039.89,0.38914,0.8578,0.37168,0.73301,0.69877,0.67477,0.52647,0.33965,0.76423,0.53941,9.57205e-05,9.57205e-05,9.57205e-05
10,3350.39,0.38877,0.84442,0.37823,0.76458,0.7124,0.68544,0.5529,0.33169,0.6832,0.52123,9.46048e-05,9.46048e-05,9.46048e-05
11,3661.66,0.38518,0.83979,0.37816,0.74208,0.73257,0.6906,0.54823,0.34318,0.68939,0.55307,9.33683e-05,9.33683e-05,9.33683e-05
12,3972.53,0.37822,0.79224,0.37012,0.79218,0.72158,0.70876,0.56783,0.326,0.64298,0.51493,9.20142e-05,9.20142e-05,9.20142e-05
13,4282.97,0.37209,0.78882,0.36475,0.7466,0.75734,0.72082,0.57124,0.3475,0.61931,0.60185,9.05463e-05,9.05463e-05,9.05463e-05
14,4593.66,0.37775,0.76444,0.36785,0.81368,0.7494,0.74754,0.60244,0.32571,0.61562,0.53977,8.89687e-05,8.89687e-05,8.89687e-05
15,4903.64,0.37947,0.73426,0.37613,0.83144,0.73875,0.74684,0.58081,0.34517,0.6116,0.57064,8.72857e-05,8.72857e-05,8.72857e-05
16,5380.15,0.37596,0.74086,0.36673,0.83028,0.72403,0.74646,0.58067,0.32789,0.6318,0.5329,8.55018e-05,8.55018e-05,8.55018e-05
17,5899.15,0.36905,0.7195,0.35868,0.82766,0.72126,0.74179,0.60736,0.32619,0.59937,0.55003,8.3622e-05,8.3622e-05,8.3622e-05
18,6347.49,0.36531,0.72082,0.35406,0.83078,0.73277,0.74412,0.58538,0.34038,0.57496,0.55294,8.16514e-05,8.16514e-05,8.16514e-05
19,6691.36,0.35937,0.71133,0.35835,0.8258,0.75946,0.75237,0.58535,0.35338,0.56082,0.60427,7.95954e-05,7.95954e-05,7.95954e-05
20,7163.76,0.36683,0.71866,0.35996,0.85576,0.74524,0.76649,0.60175,0.34575,0.56594,0.57104,7.74596e-05,7.74596e-05,7.74596e-05
21,7517.41,0.35812,0.70831,0.35475,0.84889,0.76614,0.77217,0.6068,0.33538,0.57244,0.55667,7.525e-05,7.525e-05,7.525e-05
22,7835.97,0.36115,0.6956,0.35401,0.84114,0.7631,0.77273,0.61158,0.33082,0.56852,0.52949,7.29725e-05,7.29725e-05,7.29725e-05
23,8150.6,0.36043,0.6918,0.35691,0.80854,0.73639,0.75313,0.60138,0.33725,0.57121,0.55958,7.06335e-05,7.06335e-05,7.06335e-05
24,8466.14,0.35423,0.68606,0.34831,0.83929,0.77089,0.76569,0.60276,0.35087,0.53707,0.60461,6.82392e-05,6.82392e-05,6.82392e-05
25,8780.45,0.35148,0.677,0.35428,0.80598,0.74951,0.74943,0.59889,0.32755,0.55878,0.54808,6.57963e-05,6.57963e-05,6.57963e-05
26,9134.02,0.35147,0.6792,0.34669,0.84889,0.74878,0.77416,0.62446,0.32224,0.5323,0.53669,6.33115e-05,6.33115e-05,6.33115e-05
27,9469.11,0.34926,0.66225,0.34074,0.84775,0.75983,0.7782,0.62457,0.32548,0.53561,0.54815,6.07916e-05,6.07916e-05,6.07916e-05
28,9869.01,0.34752,0.67139,0.34084,0.84129,0.71411,0.75098,0.60348,0.31721,0.58735,0.52096,5.82435e-05,5.82435e-05,5.82435e-05
29,10281.7,0.35033,0.65783,0.33933,0.85591,0.7729,0.79034,0.61374,0.33749,0.53264,0.5447,5.56742e-05,5.56742e-05,5.56742e-05
30,10696.9,0.34488,0.64622,0.34228,0.85913,0.7567,0.7757,0.61377,0.32792,0.53563,0.53312,5.30906e-05,5.30906e-05,5.30906e-05
31,11018.1,0.34222,0.64742,0.34021,0.85171,0.76409,0.77303,0.6129,0.31261,0.56389,0.50316,5.05e-05,5.05e-05,5.05e-05
32,11335.6,0.33854,0.65351,0.33365,0.88419,0.74284,0.77807,0.62336,0.32848,0.52282,0.54163,4.79094e-05,4.79094e-05,4.79094e-05
33,11650.3,0.33546,0.65089,0.33442,0.84041,0.75693,0.76777,0.60886,0.33386,0.54207,0.56439,4.53258e-05,4.53258e-05,4.53258e-05
34,11978.7,0.34001,0.65055,0.33737,0.86993,0.76357,0.7787,0.61722,0.33657,0.51565,0.56495,4.27565e-05,4.27565e-05,4.27565e-05
35,12298.5,0.33611,0.62753,0.33537,0.85252,0.76592,0.77493,0.6185,0.32807,0.53456,0.54366,4.02084e-05,4.02084e-05,4.02084e-05
36,12618.5,0.33823,0.62601,0.33816,0.87911,0.76982,0.78297,0.62344,0.32448,0.52519,0.54287,3.76885e-05,3.76885e-05,3.76885e-05
37,12939.4,0.33896,0.63159,0.33847,0.84962,0.77918,0.77946,0.62515,0.33324,0.49692,0.58632,3.52037e-05,3.52037e-05,3.52037e-05
38,13251,0.33444,0.62411,0.32543,0.8574,0.74727,0.76885,0.61352,0.33388,0.51482,0.56846,3.27608e-05,3.27608e-05,3.27608e-05
39,13562.1,0.33502,0.62057,0.33565,0.86484,0.76673,0.77813,0.61443,0.33199,0.52614,0.55599,3.03665e-05,3.03665e-05,3.03665e-05
40,13871.1,0.33339,0.60782,0.32104,0.85054,0.77878,0.77987,0.61688,0.34315,0.49206,0.60511,2.80275e-05,2.80275e-05,2.80275e-05
41,14182.5,0.32851,0.6026,0.32249,0.85421,0.77197,0.77645,0.61808,0.32867,0.50715,0.5461,2.575e-05,2.575e-05,2.575e-05
42,14493,0.33257,0.61302,0.32368,0.86932,0.77298,0.78968,0.62722,0.32673,0.5024,0.5488,2.35404e-05,2.35404e-05,2.35404e-05
43,14805.9,0.32914,0.58967,0.3224,0.87992,0.78005,0.78872,0.62877,0.33692,0.48245,0.58584,2.14046e-05,2.14046e-05,2.14046e-05
